Temperature,lx,ly,lz
300,3.500358,3.500358,3.500358
400,3.503022,3.503022,3.503022
500,3.5059889999999996,3.5059889999999996,3.5059889999999996
600,3.5092600000000003,3.5092600000000003,3.5092600000000003
700,3.5128329999999997,3.5128329999999997,3.5128329999999997
800,3.516763,3.516763,3.516763
900,3.521058,3.521058,3.521058
1000,3.525806,3.525806,3.525806
1100,nan,nan,nan
1200,3.5368839999999997,3.5368839999999997,3.5368839999999997
1300,3.543487,3.543487,3.543487
1400,3.550935,3.550935,3.550935
